Datum,Innehåll,Videotitel,Publiceringstid för video,Visningar
2024-08-13,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-14,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-15,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-16,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-17,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-18,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-19,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-20,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-21,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-22,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-23,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-24,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-25,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-26,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",1
2024-08-27,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",3
2024-08-28,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-29,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",1
2024-08-30,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",11
2024-08-31,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",3
2024-09-01,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",8
2024-09-02,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",16
2024-09-03,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",5
2024-09-04,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",2
2024-09-05,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",10
2024-09-06,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",6
2024-09-07,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",1
2024-09-08,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",5
2024-09-09,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",18
2024-08-13,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-08-14,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-08-15,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-08-16,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-08-17,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-08-18,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",1
2024-08-19,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-08-20,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",1
2024-08-21,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",2
2024-08-22,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",10
2024-08-23,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",11
2024-08-24,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",1
2024-08-25,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",4
2024-08-26,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",6
2024-08-27,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",11
2024-08-28,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",6
2024-08-29,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",3
2024-08-30,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",4
2024-08-31,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",2
2024-09-01,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",4
2024-09-02,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",5
2024-09-03,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-09-04,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",1
2024-09-05,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",2
2024-09-06,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-09-07,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-09-08,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-09-09,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
2024-08-13,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-08-14,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-08-15,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-08-16,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-08-17,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",7
2024-08-18,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",4
2024-08-19,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-08-20,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-08-21,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",2
2024-08-22,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",11
2024-08-23,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",4
2024-08-24,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",1
2024-08-25,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",4
2024-08-26,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",7
2024-08-27,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",7
2024-08-28,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",3
2024-08-29,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",2
2024-08-30,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",3
2024-08-31,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",3
2024-09-01,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",3
2024-09-02,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",2
2024-09-03,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-09-04,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-09-05,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",7
2024-09-06,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-09-07,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-09-08,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-09-09,TrLrobmqzKQ,Roles and privileges in snowflake (coding),"Aug 17, 2024",0
2024-08-13,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",0
2024-08-14,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",0
2024-08-15,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",0
2024-08-16,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",0
2024-08-17,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",7
2024-08-18,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",1
2024-08-19,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",16
2024-08-20,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",9
2024-08-21,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",5
2024-08-22,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",5
2024-08-23,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",9
2024-08-24,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",10
2024-08-25,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",2
2024-08-26,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",4
2024-08-27,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",1
2024-08-28,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",4
2024-08-29,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",1
2024-08-30,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",1
2024-08-31,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",1
2024-09-01,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",3
2024-09-02,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",4
2024-09-03,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",1
2024-09-04,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",2
2024-09-05,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",3
2024-09-06,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",2
2024-09-07,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",1
2024-09-08,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",2
2024-09-09,i454nHjdMAc,Setup snowflake and snowsql,"Aug 17, 2024",7
2024-08-13,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-08-14,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-08-15,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-08-16,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-08-17,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-08-18,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",1
2024-08-19,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-08-20,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",1
2024-08-21,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",4
2024-08-22,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",11
2024-08-23,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",9
2024-08-24,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",6
2024-08-25,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",4
2024-08-26,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",12
2024-08-27,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",7
2024-08-28,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",3
2024-08-29,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",5
2024-08-30,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-08-31,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-09-01,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",4
2024-09-02,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",4
2024-09-03,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",1
2024-09-04,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",3
2024-09-05,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",1
2024-09-06,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",1
2024-09-07,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-09-08,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",0
2024-09-09,u4map_3j9LA,Setup dlt part 1 (coding),"Aug 18, 2024",1
