Datum,Operativsystem,Visningar
2024-08-13,Okänd,0
2024-08-14,Okänd,0
2024-08-15,Okänd,0
2024-08-16,Okänd,0
2024-08-17,Okänd,0
2024-08-18,Okänd,0
2024-08-19,Okänd,0
2024-08-20,Okänd,0
2024-08-21,Okänd,0
2024-08-22,Okänd,0
2024-08-23,Okänd,0
2024-08-24,Okänd,0
2024-08-25,Okänd,0
2024-08-26,Okänd,0
2024-08-27,Okänd,0
2024-08-28,Okänd,0
2024-08-29,Okänd,0
2024-08-30,Okänd,0
2024-08-31,Okänd,0
2024-09-01,Okänd,0
2024-09-02,Okänd,0
2024-09-03,Okänd,0
2024-09-04,Okänd,0
2024-09-05,Okänd,0
2024-09-06,Okänd,0
2024-09-07,Okänd,0
2024-09-08,Okänd,0
2024-09-09,Okänd,0
2024-08-13,Windows,1
2024-08-14,Windows,0
2024-08-15,Windows,0
2024-08-16,Windows,1
2024-08-17,Windows,0
2024-08-18,Windows,5
2024-08-19,Windows,39
2024-08-20,Windows,47
2024-08-21,Windows,39
2024-08-22,Windows,77
2024-08-23,Windows,73
2024-08-24,Windows,36
2024-08-25,Windows,57
2024-08-26,Windows,69
2024-08-27,Windows,63
2024-08-28,Windows,58
2024-08-29,Windows,58
2024-08-30,Windows,81
2024-08-31,Windows,23
2024-09-01,Windows,87
2024-09-02,Windows,135
2024-09-03,Windows,31
2024-09-04,Windows,51
2024-09-05,Windows,79
2024-09-06,Windows,49
2024-09-07,Windows,28
2024-09-08,Windows,22
2024-09-09,Windows,95
2024-08-13,Android,0
2024-08-14,Android,0
2024-08-15,Android,0
2024-08-16,Android,0
2024-08-17,Android,2
2024-08-18,Android,4
2024-08-19,Android,7
2024-08-20,Android,13
2024-08-21,Android,8
2024-08-22,Android,38
2024-08-23,Android,5
2024-08-24,Android,10
2024-08-25,Android,4
2024-08-26,Android,18
2024-08-27,Android,5
2024-08-28,Android,3
2024-08-29,Android,15
2024-08-30,Android,14
2024-08-31,Android,9
2024-09-01,Android,8
2024-09-02,Android,1
2024-09-03,Android,2
2024-09-04,Android,2
2024-09-05,Android,6
2024-09-06,Android,0
2024-09-07,Android,5
2024-09-08,Android,3
2024-09-09,Android,3
2024-08-13,iOS,0
2024-08-14,iOS,1
2024-08-15,iOS,0
2024-08-16,iOS,0
2024-08-17,iOS,6
2024-08-18,iOS,0
2024-08-19,iOS,6
2024-08-20,iOS,1
2024-08-21,iOS,3
2024-08-22,iOS,1
2024-08-23,iOS,4
2024-08-24,iOS,4
2024-08-25,iOS,8
2024-08-26,iOS,4
2024-08-27,iOS,4
2024-08-28,iOS,5
2024-08-29,iOS,5
2024-08-30,iOS,7
2024-08-31,iOS,2
2024-09-01,iOS,6
2024-09-02,iOS,9
2024-09-03,iOS,9
2024-09-04,iOS,0
2024-09-05,iOS,1
2024-09-06,iOS,1
2024-09-07,iOS,1
2024-09-08,iOS,11
2024-09-09,iOS,12
2024-08-13,Macintosh,0
2024-08-14,Macintosh,0
2024-08-15,Macintosh,0
2024-08-16,Macintosh,0
2024-08-17,Macintosh,49
2024-08-18,Macintosh,17
2024-08-19,Macintosh,14
2024-08-20,Macintosh,17
2024-08-21,Macintosh,6
2024-08-22,Macintosh,19
2024-08-23,Macintosh,16
2024-08-24,Macintosh,16
2024-08-25,Macintosh,9
2024-08-26,Macintosh,24
2024-08-27,Macintosh,32
2024-08-28,Macintosh,15
2024-08-29,Macintosh,15
2024-08-30,Macintosh,16
2024-08-31,Macintosh,10
2024-09-01,Macintosh,15
2024-09-02,Macintosh,9
2024-09-03,Macintosh,12
2024-09-04,Macintosh,2
2024-09-05,Macintosh,13
2024-09-06,Macintosh,6
2024-09-07,Macintosh,4
2024-09-08,Macintosh,16
2024-09-09,Macintosh,21
2024-08-13,PlayStation,0
2024-08-14,PlayStation,0
2024-08-15,PlayStation,0
2024-08-16,PlayStation,0
2024-08-17,PlayStation,0
2024-08-18,PlayStation,0
2024-08-19,PlayStation,0
2024-08-20,PlayStation,0
2024-08-21,PlayStation,0
2024-08-22,PlayStation,0
2024-08-23,PlayStation,0
2024-08-24,PlayStation,0
2024-08-25,PlayStation,0
2024-08-26,PlayStation,0
2024-08-27,PlayStation,0
2024-08-28,PlayStation,0
2024-08-29,PlayStation,0
2024-08-30,PlayStation,0
2024-08-31,PlayStation,1
2024-09-01,PlayStation,0
2024-09-02,PlayStation,0
2024-09-03,PlayStation,0
2024-09-04,PlayStation,0
2024-09-05,PlayStation,0
2024-09-06,PlayStation,0
2024-09-07,PlayStation,0
2024-09-08,PlayStation,0
2024-09-09,PlayStation,0
2024-08-13,WebOS,0
2024-08-14,WebOS,0
2024-08-15,WebOS,0
2024-08-16,WebOS,0
2024-08-17,WebOS,4
2024-08-18,WebOS,0
2024-08-19,WebOS,0
2024-08-20,WebOS,3
2024-08-21,WebOS,7
2024-08-22,WebOS,2
2024-08-23,WebOS,0
2024-08-24,WebOS,0
2024-08-25,WebOS,0
2024-08-26,WebOS,1
2024-08-27,WebOS,0
2024-08-28,WebOS,0
2024-08-29,WebOS,2
2024-08-30,WebOS,3
2024-08-31,WebOS,1
2024-09-01,WebOS,0
2024-09-02,WebOS,0
2024-09-03,WebOS,0
2024-09-04,WebOS,0
2024-09-05,WebOS,3
2024-09-06,WebOS,0
2024-09-07,WebOS,0
2024-09-08,WebOS,0
2024-09-09,WebOS,5
2024-08-13,Linux,0
2024-08-14,Linux,0
2024-08-15,Linux,0
2024-08-16,Linux,0
2024-08-17,Linux,0
2024-08-18,Linux,2
2024-08-19,Linux,3
2024-08-20,Linux,0
2024-08-21,Linux,2
2024-08-22,Linux,0
2024-08-23,Linux,1
2024-08-24,Linux,1
2024-08-25,Linux,0
2024-08-26,Linux,1
2024-08-27,Linux,2
2024-08-28,Linux,0
2024-08-29,Linux,0
2024-08-30,Linux,0
2024-08-31,Linux,0
2024-09-01,Linux,0
2024-09-02,Linux,0
2024-09-03,Linux,0
2024-09-04,Linux,2
2024-09-05,Linux,0
2024-09-06,Linux,1
2024-09-07,Linux,0
2024-09-08,Linux,0
2024-09-09,Linux,0
2024-08-13,Smart-TV,0
2024-08-14,Smart-TV,0
2024-08-15,Smart-TV,0
2024-08-16,Smart-TV,0
2024-08-17,Smart-TV,0
2024-08-18,Smart-TV,0
2024-08-19,Smart-TV,0
2024-08-20,Smart-TV,0
2024-08-21,Smart-TV,4
2024-08-22,Smart-TV,7
2024-08-23,Smart-TV,0
2024-08-24,Smart-TV,0
2024-08-25,Smart-TV,0
2024-08-26,Smart-TV,0
2024-08-27,Smart-TV,0
2024-08-28,Smart-TV,0
2024-08-29,Smart-TV,0
2024-08-30,Smart-TV,1
2024-08-31,Smart-TV,6
2024-09-01,Smart-TV,1
2024-09-02,Smart-TV,0
2024-09-03,Smart-TV,0
2024-09-04,Smart-TV,0
2024-09-05,Smart-TV,0
2024-09-06,Smart-TV,0
2024-09-07,Smart-TV,2
2024-09-08,Smart-TV,1
2024-09-09,Smart-TV,0
2024-08-13,Chromecast,0
2024-08-14,Chromecast,0
2024-08-15,Chromecast,0
2024-08-16,Chromecast,0
2024-08-17,Chromecast,0
2024-08-18,Chromecast,0
2024-08-19,Chromecast,0
2024-08-20,Chromecast,1
2024-08-21,Chromecast,0
2024-08-22,Chromecast,0
2024-08-23,Chromecast,0
2024-08-24,Chromecast,0
2024-08-25,Chromecast,0
2024-08-26,Chromecast,0
2024-08-27,Chromecast,0
2024-08-28,Chromecast,0
2024-08-29,Chromecast,0
2024-08-30,Chromecast,0
2024-08-31,Chromecast,0
2024-09-01,Chromecast,0
2024-09-02,Chromecast,0
2024-09-03,Chromecast,0
2024-09-04,Chromecast,0
2024-09-05,Chromecast,0
2024-09-06,Chromecast,0
2024-09-07,Chromecast,0
2024-09-08,Chromecast,0
2024-09-09,Chromecast,0
2024-08-13,Apple tvOS,0
2024-08-14,Apple tvOS,0
2024-08-15,Apple tvOS,0
2024-08-16,Apple tvOS,0
2024-08-17,Apple tvOS,0
2024-08-18,Apple tvOS,0
2024-08-19,Apple tvOS,0
2024-08-20,Apple tvOS,0
2024-08-21,Apple tvOS,0
2024-08-22,Apple tvOS,0
2024-08-23,Apple tvOS,0
2024-08-24,Apple tvOS,0
2024-08-25,Apple tvOS,0
2024-08-26,Apple tvOS,0
2024-08-27,Apple tvOS,0
2024-08-28,Apple tvOS,0
2024-08-29,Apple tvOS,0
2024-08-30,Apple tvOS,0
2024-08-31,Apple tvOS,0
2024-09-01,Apple tvOS,0
2024-09-02,Apple tvOS,0
2024-09-03,Apple tvOS,0
2024-09-04,Apple tvOS,0
2024-09-05,Apple tvOS,0
2024-09-06,Apple tvOS,0
2024-09-07,Apple tvOS,0
2024-09-08,Apple tvOS,0
2024-09-09,Apple tvOS,4
2024-08-13,Amazon Fire OS,0
2024-08-14,Amazon Fire OS,0
2024-08-15,Amazon Fire OS,0
2024-08-16,Amazon Fire OS,0
2024-08-17,Amazon Fire OS,0
2024-08-18,Amazon Fire OS,0
2024-08-19,Amazon Fire OS,0
2024-08-20,Amazon Fire OS,0
2024-08-21,Amazon Fire OS,0
2024-08-22,Amazon Fire OS,0
2024-08-23,Amazon Fire OS,0
2024-08-24,Amazon Fire OS,0
2024-08-25,Amazon Fire OS,0
2024-08-26,Amazon Fire OS,0
2024-08-27,Amazon Fire OS,0
2024-08-28,Amazon Fire OS,0
2024-08-29,Amazon Fire OS,0
2024-08-30,Amazon Fire OS,0
2024-08-31,Amazon Fire OS,0
2024-09-01,Amazon Fire OS,1
2024-09-02,Amazon Fire OS,0
2024-09-03,Amazon Fire OS,0
2024-09-04,Amazon Fire OS,0
2024-09-05,Amazon Fire OS,0
2024-09-06,Amazon Fire OS,0
2024-09-07,Amazon Fire OS,0
2024-09-08,Amazon Fire OS,0
2024-09-09,Amazon Fire OS,0
2024-08-13,Chrome OS,0
2024-08-14,Chrome OS,0
2024-08-15,Chrome OS,0
2024-08-16,Chrome OS,0
2024-08-17,Chrome OS,0
2024-08-18,Chrome OS,0
2024-08-19,Chrome OS,0
2024-08-20,Chrome OS,0
2024-08-21,Chrome OS,0
2024-08-22,Chrome OS,0
2024-08-23,Chrome OS,0
2024-08-24,Chrome OS,0
2024-08-25,Chrome OS,0
2024-08-26,Chrome OS,0
2024-08-27,Chrome OS,0
2024-08-28,Chrome OS,0
2024-08-29,Chrome OS,0
2024-08-30,Chrome OS,0
2024-08-31,Chrome OS,0
2024-09-01,Chrome OS,0
2024-09-02,Chrome OS,0
2024-09-03,Chrome OS,0
2024-09-04,Chrome OS,0
2024-09-05,Chrome OS,0
2024-09-06,Chrome OS,0
2024-09-07,Chrome OS,0
2024-09-08,Chrome OS,0
2024-09-09,Chrome OS,0
